matricola;Classe
21112;2PE
21409;1EI
21093;2PE
21244;2QL
21407;1DI
21317;1PE
21173;1CI
21324;2PE
21059;1DI
21205;2EI
21062;2CI
21432;3EI
21434;2QL
21433;3DI
21435;2OE
21436;3FI
21437;2PE
21444;2HL
21446;3BE
21447;2LE
21443;3AE
21440;2IL
21450;3HI
21441;3AE
21449;4FI
21451;3AC
21453;1FL
21454;4EI
21456;2QL
21457;2IL
21461;2OE
21462;1CI
21463;4AI
21464;2GL
21466;2LE
21467;2CI
21469;2EI
21472;2EI
21628;1HL
21735;1LE
21540;1FL
21570;1FL
21524;1LE
21657;1FL
21620;1LE
21813;1EI
21538;1PE
21638;1LE
21637;1LE
21805;1OE
21636;1HL
21582;1ME
21782;1BI
21604;1LE
21598;1AI
21663;1EI
21780;1BI
21591;1GL
21727;1HL
21669;1DI
21779;1NE
21695;1OE
21655;1AI
21644;1AI
21627;1AI
21772;1FL
21539;1LE
21692;1CI
21546;1OE
21749;1CI
21696;1IL
21601;1ME
21597;1ME
21715;1AI
21683;1DI
21560;1OE
21542;1OE
21617;1AI
21774;1FL
21615;1HL
21605;1HL
21723;1GL
21593;1PE
21592;1IL
21642;1NE
21697;1PE
21754;1AI
21676;1FL
21643;1FL
21792;1AI
21680;1FL
21528;1FL
21586;1EI
21691;1IL
21753;1GL
21646;1GL
21724;1LE
21535;1LE
21473;1CI
21769;1FL
21817;1GL
21631;1GL
21552;1FL
21548;1AI
21580;1DI
21607;1IL
21589;1CI
21647;1AI
21545;1AI
21596;1EI
21712;1EI
21731;1IL
21739;1OE
21521;1OE
21744;1FL
21534;1PE
21554;1OE
21704;1NE
21760;1DI
21634;1FL
21781;1NE
21553;1BI
21536;1CI
21541;1ME
21762;1EI
21740;1GL
21785;1OE
21611;1GL
21587;1GL
21564;1ME
21764;1GL
21630;1ME
21579;1IL
21517;1ME
21776;1EI
21522;1ME
21689;1IL
21793;1ME
21794;1CI
21671;1CI
21795;1HL
21544;1FL
21525;1FL
21527;1DI
21722;1ME
21765;1BI
21705;1OE
21549;1HL
21751;1EI
21556;1PE
21577;1IL
21576;1IL
21756;1NE
21608;1GL
21802;1PE
21810;1CI
21748;1IL
21537;1IL
21804;1HL
21520;1IL
21530;1IL
21709;1GL
21514;1IL
21584;1LE
21814;1DI
21759;1EI
21672;1EI
21702;1EI
21563;1PE
21720;1BI
21755;1PE
21684;1HL
21714;1PE
21571;1LE
21777;1GL
21523;1GL
21645;1HL
21806;1IL
21566;1GL
21773;1HL
21612;1AI
21581;1LE
21670;1DI
21686;1DI
21610;1AI
21590;1LE
21561;1IL
21767;1OE
21648;1PE
21747;1OE
21660;1CI
21811;1BI
21789;1LE
21677;1CI
21653;1BI
21807;1FL
21798;1BI
21734;1BI
21614;1LE
21816;1AI
21667;1FL
21819;1EI
21693;1AI
21569;1DI
21703;1GL
21661;1ME
21797;1LE
21531;1ME
21808;1ME
21633;1GL
21681;1HL
21515;1DI
21690;1PE
21573;1PE
21574;1NE
21698;1LE
21675;1LE
21618;1IL
21606;1GL
21640;1BI
21626;1DI
21650;1DI
21718;1ME
21717;1FL
21572;1NE
21518;1HL
21673;1EI
21763;1ME
21775;1OE
21649;1DI
21666;1PE
21639;1AI
21557;1ME
21743;1CI
21585;1HL
21621;1PE
21562;1NE
21820;1IL
21641;1CI
21812;1HL
21737;1GL
21565;1GL
21750;1PE
21719;1ME
21679;1PE
21729;1NE
21741;1EI
21761;1EI
21625;1BI
21595;1HL
21578;1HL
21688;1EI
21721;1GL
21752;1FL
21550;1GL
21685;1GL
21771;1PE
21787;1ME
21796;1ME
21609;1IL
21711;1IL
21575;1CI
21778;1BI
21664;1BI
21757;1DI
21555;1HL
21547;1PE
21659;1LE
21730;1NE
21800;1NE
21567;1GL
21766;1FL
21635;1OE
21594;1OE
21603;1BI
21559;1EI
21733;1BI
21543;1NE
21651;1NE
21588;1NE
21713;1GL
21599;1FL
21632;1ME
21726;1ME
21821;1ME
21745;1ME
21700;1LE
21799;1IL
21568;1ME
21790;1CI
21662;1DI
21783;1LE
21652;1DI
21732;1LE
21706;1CI
21815;1EI
21583;1LE
21803;1AI
21791;1EI
21742;1PE
21687;1OE
21707;1IL
21654;1AI
21616;1PE
21728;1IL
21708;1AI
21818;1FL
21694;1PE
21658;1NE
21725;1EI
21678;1ME
21746;1FL
21768;1EI
21784;1IL
21738;1HL
21526;1NE
21716;1GL
21801;1GL
21786;1NE
21532;1ME
21529;1ME
21736;1FL
21668;1LE
21674;1HL
21622;1OE
21682;1AI
21788;1CI
21710;1DI
21533;1IL
21613;1HL
21832;1PE
21839;1FL
21824;4AI
21822;1EI
21861;5AI
21823;2ME
21862;1BI
21826;3AC
21828;1GL
21834;2QL
21829;3AC
21830;3AC
21831;1CI
21833;4CI
21835;2HL
21836;2AI
21837;2BI
21838;4AE
21840;2AI
21841;4CI
21863;2IL
21842;1HL
21844;1PE
21845;1CI
21843;2IL
21846;1AI
21847;1HL
21848;1BI
21850;3HI
21851;3DI
21852;3FI
21853;3EI
21854;3EI
21855;1PE
21856;1IL
21858;3BI
21859;3AI
21860;1OE
21864;2AI
21865;3CI
21866;3AE
21868;1PE
21869;1HL
21870;3BI
21871;2BI
21872;1OE
21873;1DI
21874;1AI
21875;3CE
21876;1OE
21877;1OE
21878;3BI
21879;3BI
21880;3EI
21881;1CI
21882;1IL
21883;1FL
21884;1OE
21885;1HL
21888;2IL
